0
Hydrogenibacillus sp. N12
Streptococcus equi
Mycobacterium senegalense
Mycobacterium malmoense
Mycobacterium holsaticum
Mycobacterium heraklionense
Rhodobacter sp. N10
Gammaproteobacteria bacterium (ex Lamellibrachia satsuma)
Pediococcus sp. MR001
Leptospira interrogans
Pseudomonas sp. FIT28
Dehalococcoides mccartyi
Chryseobacterium sp. LJ668
Flavobacterium sp. WSW3-B6
Aneurinibacillus thermoaerophilus
Ruficoccus sp. ZRK36
Cupriavidus pinatubonensis
Diaphorobacter sp. MNS-0
Streptomyces sp. MG28
Shewanella putrefaciens
Roseovarius sp. SCSIO 43702
Pseudomonas sp. S07E 245
Pseudomonas sp. S11A 273
Nocardiopsis sp. MT53
Chlamydia abortus
Clostridium scindens
Frankia sp. ArI3
Weissella confusa
Apilactobacillus kunkeei
Nesterenkonia pannonica
Flavobacterium columnare
Mycoplasmopsis agalactiae
Streptococcus agalactiae
Fusobacterium nucleatum
Fusobacterium hwasookii
Corynebacterium glutamicum
Prevotella sp. Rep29
Paenibacillus sp. sptzw28
Devosia sp. SCS-3
Citrobacter braakii
Erwinia amylovora
Mycobacterium avium
Burkholderia pseudomallei
Francisella tularensis
Lactiplantibacillus plantarum
Bifidobacterium asteroides
Lactobacillus panisapium
Apibacter sp. ESL0404
Apibacter sp. ESL0432
Gilliamella sp. ESL0405
Gilliamella sp. ESL0441
Gilliamella sp. ESL0443
Pseudonocardia sp. DSM 110487
Dickeya zeae
Bacillus sp. 7D3
Oleiharenicola sp. KSB-15
Leucobacter luti
Pseudochrobactrum sp. Wa41.01b-1
Pseudomonas sp. So3.2b
Microbacterium sp. Se5.02b
Shewanella sp. FJAT-53764
Shewanella sp. FJAT-51754
Shewanella sp. FJAT-52072
Shewanella sp. FJAT-53749
Shewanella sp. FJAT-54031
Shewanella sp. FJAT-53681
Shewanella sp. FJAT-53555
Shewanella sp. FJAT-53870
Shewanella sp. FJAT-53532
Shewanella sp. FJAT-51860
Shewanella sp. FJAT-52076
Shewanella sp. FJAT-51649
Mycobacterium shottsii
Mycobacterium pallens
Mycobacterium diernhoferi
Paenibacillus sp. S25
Paenibacillus sp. S02
Opitutae bacterium ISCC 53
Opitutae bacterium ISCC 51
Opitutae bacterium ISCC 52
Candidatus Rhabdochlamydia sp. W744
Campylobacter lari
Achromobacter sp. ES-001
Streptococcus pyogenes
Qipengyuania flava
Halomonas denitrificans
Thalassobius mediterraneus
Curtobacterium flaccumfaciens
Xanthomonas perforans
Salinibacterium sp. M195
Corynebacterium aquatimens
Lactobacillus helveticus
Enterobacter sp. DNB-S2
Aeromonas salmonicida
Algoriphagus sp. NBT04N3
Iamia sp. SCSIO 61187
Bacillus atrophaeus
Citrobacter koseri
Microbacterium sp. PAMC22086
Janthinobacterium sp. PAMC25594
Massilia sp. NP310
Microbacterium sp. PAMC21962
Massilia sp. PAMC28688
Arthrobacter sp. PAMC25284
Brevundimonas sp. PAMC22021
Brevibacterium sp. PAMC21349
Cryobacterium sp. PAMC25264
Weizmannia coagulans
Aquisediminimonas profunda
Halomonas piezotolerans
Xanthomonas citri
Paeniclostridium sordellii
Flavobacteriaceae bacterium AHE01FL
Paenibacillus sp. R14(2021)
Polymorphobacter sp. PAMC 29334
Escherichia sp. TM-G17TGC
Paraburkholderia edwinii
Chlamydia suis
Nonomuraea coxensis
Paulownia witches'-broom phytoplasma
Brevundimonas nasdae
Neisseria gonorrhoeae
Schaalia turicensis
Streptomyces anulatus
Macrococcus caseolyticus
Rhodococcus sp. USK10
Macrococcus bohemicus
Macrococcus sp. 19Msa1099
Nosocomiicoccus ampullae
Rhizobium sp. AB2/73
Gramella sp. MT6
Salmonella bongori
Caulobacter vibrioides
Escherichia sp. TC-EC600-tetX4
Neisseria meningitidis
Agrobacterium larrymoorei
Rhizobium sp. B21/90
Rhizobium sp. B230/85
Rhizobium sp. K15/93
Rhizobium sp. K1/93
Rhizobium sp. L51/94
Agrobacterium sp. S7/73
Pseudomonas putida
Lachnospiraceae bacterium MP1D12
Bacillus altitudinis
Pseudomonas sp. MTM4
Providencia sp. R33
Alcaligenes sp. HO-1
Methylovirgula sp. HY1
Vibrio neptunius
Rothia mucilaginosa
Streptococcus rubneri
Neisseria sicca
Rothia aeria
Neisseria perflava
Bacillus sp. LJBS17
Streptobacillus moniliformis
Streptococcus oralis
Klebsiella grimontii
Aeromonas sanarellii
Comamonas aquatica
Rhodococcus globerulus
Listeria monocytogenes
Mucilaginibacter sp. 21P
Amycolatopsis sp. TNS106
Rhodococcus sp. LW-XY12
Chryseobacterium sp. D764
Brevibacterium flavum
Pedobacter sp. D749
Niabella sp. I65
Tessaracoccus sp. J1M15
Jannaschia sp. J12C1-MA-4
Sphingomonas sanguinis
Rothia dentocariosa
Acinetobacter junii
Citrobacter freundii
Alcaligenes aquatilis
Bacillus mycoides
Nitrospirales bacterium LBB_01
Streptomyces sp. WY228
Skermania piniformis
Chitinophaga sp. E66
Paeniglutamicibacter sp. Y32M11
Sphingobacterium sp. E70
Stenotrophomonas indicatrix
Pseudomonas tolaasii
Rickettsiella endosymbiont of Dermanyssus gallinae
Methylococcus capsulatus
Methylococcus sp. Mc7
Cellulophaga sp. HaHa_2_1
Cellulophaga sp. HaHa_2_95
Olleya sp. HaHaR_3_96
Polaribacter sp. HaHaR_3_91
Polaribacter sp. AHE13PA
Polaribacter sp. R2A056_3_33
Tenacibaculum sp. AHE14PA
Tenacibaculum sp. AHE15PA
Winogradskyella sp. HaHa_3_26
Parageobacillus caldoxylosilyticus
Mammaliicoccus sciuri
Actinobacillus pleuropneumoniae
Polaribacter sp. NJDZ03
Clavibacter michiganensis
Morganella morganii
Vibrio sp. OG9-811
Tetragenococcus halophilus
Nocardia iowensis
Staphylococcus haemolyticus
Pseudoclavibacter sp. 125703-2019
Halomonas sp. 18071143
Elioraea sp. MS-P2
Pseudomonas geniculata
Microbacterium sp. E22
Chryseobacterium sp. E1
Geomonas sp. RG3
Crassaminicella sp. 143-21
Cronobacter sakazakii
Pseudomonas tritici
Comamonas sp. NLF-1-9
Comamonas sp. CJ34
Enterococcus hirae
Lacticaseibacillus paracasei
Candidatus Vallotia tarda
Mycoplasma pneumoniae
