0
Synechococcus sp. M16.1
Synechococcus sp. MEDNS5
Synechococcus sp. Minos11
Synechococcus sp. MVIR-18-1
Synechococcus sp. NOUM97013
Synechococcus sp. PROS-7-1
Synechococcus sp. PROS-9-1
Synechococcus sp. PROS-U-1
Synechococcus sp. ROS8604
Synechococcus sp. RS9902
Synechococcus sp. RS9907
Synechococcus sp. RS9909
Synechococcus sp. SYN20
Synechococcus sp. TAK9802
Edaphobacter sp. 4G125
Acidobacterium sp. 4Y35
Vibrio alginolyticus
Halomonas sp. SH5A2
Corynebacterium anserum
Blattabacterium cuenoti
Bacteroides luhongzhouii
Hymenobacter sp. S2-20-2
Bacillus sp. PAMC28571
Bacillus sp. PAMC28748
Bacillus sp. PAMC26543
Aminobacter sp. MDW-2
Teredinibacter haidensis
Croceicoccus marinus
Vibrio vulnificus
Pseudomonas sediminis
Pseudomonas sp. B11D7D
Xanthomonas sp. SI
Xanthomonas sp. SS
Xanthomonas sp. GW
Xanthomonas theicola
Bacillus sp. PAMC26568
Pseudonocardia sp. CGMCC 4.1532
Sphingobium yanoikuyae
Ewingella americana
Anaerocolumna chitinilytica
Anaerocolumna cellulosilytica
Mycolicibacterium litorale
Citrifermentans bremense
Mycoavidus sp. B2-EB
Geodermatophilaceae bacterium NBWT11
Candidatus Liberibacter asiaticus
Janibacter sp. YB324
Synechococcus sp. LTW-R
Metabacillus sp. KUDC1714
Adhaeribacter swui
Rhodococcus triatomae
Glaciihabitans sp. INWT7
Frigoribacterium sp. NBH87
Hymenobacter sp. NBH84
Leifsonia shinshuensis
Sphingomonas sp. NBWT7
Streptomyces sp. INR7
Kribbella qitaiheensis
Pseudarthrobacter sp. NBSH8
Teredinibacter purpureus
Rothia nasimurium
Streptomyces rutgersensis
Streptomyces finlayi
Terrihabitans soli
Rhizobium lusitanum
Phyllobacterium sp. 628
Mesorhizobium huakuii
Mesorhizobium loti
Tardiphaga robiniae
Microbacterium sp. Se63.02b
Massilia sp. Dwa41.01b
Massilia sp. Se16.2.3
Herbaspirillum frisingense
Paraburkholderia tropica
Clostridium tyrobutyricum
Acinetobacter sp. BEC1-S18-ESBL-01
Klebsiella sp. WP8-S18-ESBL-06
Klebsiella sp. WP7-S18-ESBL-04
Klebsiella sp. WP7-S18-CRE-03
Klebsiella sp. WP7-S18-CRE-02
Klebsiella sp. WP4-W18-ESBL-05
Klebsiella sp. WP3-S18-ESBL-05
Klebsiella sp. WP3-W18-ESBL-02
Aeromonas sp. WP2-W18-CRE-05
Lacibacter sp. S13-6-6
Alistipes indistinctus
Nocardioides dongkuii
Denitratisoma oestradiolicum
Bacteroides zhangwenhongi
Blautia producta
Mumia sp. ZJ1417
Devosia sp. MC521
Tomitella sp. HY172
Ciceribacter thiooxidans
Sandaracinobacter sp. M6
Bartonella sp. HY038
Pseudoalteromonas sp. MT33b
Pseudomonas sp. 29A
Spirosoma sp. PL0136
Stenotrophomonas acidaminiphila
Legionella sp. PC997
Legionella sp. PC1000
Nocardioides sp. WS12
Cohnella sp. KS 22
Streptacidiphilus sp. PB12-B1b
Streptacidiphilus sp. P02-A3a
Brucella sp. BO3
Streptomyces sp. SCUT-3
Stenotrophomonas sp. SXG-1
Granulicella sp. 5B5
Vibrio spartinae
Streptomyces lincolnensis
Devosia sp. D6-9
Weissella cibaria
Pectinatus frisingensis
Comamonas koreensis
Comamonas testosteroni
Pseudomonas migulae
Adhaeribacter radiodurans
Gordonia rubripertincta
Streptomyces pristinaespiralis
Mammaliicoccus lentus
Flaviflexus sp. dk850
Schaalia sp. JY-X169
Levilactobacillus suantsaii
Mycoplasma tullyi
Aureimonas mangrovi
Companilactobacillus pabuli
Candidatus Nitrospira kreftii
Neisseria bacilliformis
Neisseria dentiae
Kingella oralis
Neisseria shayeganii
Neisseria wadsworthii
Conchiformibius steedae
Candidatus Protochlamydia amoebophila
Planococcus maritimus
Bacillus haynesii
Actinotalea sp. JY-7876
Arcanobacterium sp. JY-X040
Gordonia jinghuaiqii
Chryseobacterium sp. cx-624
Streptococcus equinus
Nostoc edaphicum
Firmicutes bacterium zrk13
Kocuria varians
Xanthomonas sp. CPBF 426
Enterobacter sp. RHB15-C17
Thermosynechococcus vestitus
Citrobacter sp. RHB20-C15
Citrobacter sp. RHB20-C16
Citrobacter sp. RHB21-C01
Citrobacter sp. RHB21-C05
Carnobacteriaceae bacterium zg-84
Flavobacterium sp. xlx-214
Bacteroides sp. CACC 737
Citrobacter sp. RHB25-C09
Burkholderia sp. MBR-1
Citrobacter sp. RHB35-C17
Citrobacter sp. RHB35-C21
Citrobacter sp. RHB36-C18
Citrobacter sp. RHBSTW-00017
Citrobacter sp. RHBSTW-00021
Citrobacter sp. RHBSTW-00053
Citrobacter sp. RHBSTW-00107
Citrobacter sp. RHBSTW-00127
Citrobacter sp. RHBSTW-00137
Citrobacter sp. RHBSTW-00229
Enterobacter sp. RHBSTW-00593
Citrobacter sp. RHBSTW-00599
Citrobacter sp. RHBSTW-00986
Enterobacter sp. RHBSTW-00994
Citrobacter sp. RHBSTW-01013
Citrobacter sp. RHBSTW-01044
Clostridium intestinale
Bradyrhizobium japonicum
Bdellovibrio sp. KM01
Enterobacter sp. RHBSTW-00422
Citrobacter sp. RHBSTW-00524
Citrobacter sp. RHBSTW-00535
Escherichia marmotae
Citrobacter sp. RHBSTW-00628
Citrobacter sp. RHBSTW-00667
Tenericutes bacterium zrk29
Nocardia sp. WCH-YHL-001
Citrobacter sp. RHBSTW-00424
Citrobacter sp. RHBSTW-00570
Citrobacter sp. RHBSTW-00678
Citrobacter sp. RHBSTW-00446
Klebsiella sp. RHBSTW-00464
Citrobacter sp. RHBSTW-00696
Citrobacter sp. RHBSTW-00821
Citrobacter sp. RHBSTW-00859
Citrobacter sp. RHBSTW-00881
Citrobacter sp. RHBSTW-00887
Citrobacter sp. RHBSTW-00903
Citrobacter sp. RHBSTW-00976
Streptomyces sp. S1D4-14
Candidatus Thiothrix singaporensis
Citrobacter sp. RHBSTW-00944
Enterobacter sp. RHBSTW-00975
Ensifer mexicanus
Empedobacter falsenii
Ligilactobacillus saerimneri
Lactobacillus sp. 3B(2020)
Anaplasma phagocytophilum
Sulfitobacter pontiacus
Candidatus Portiera aleyrodidarum
Frigoriglobus tundricola
Pseudomonas campi
Actinobacteria bacterium IMCC26103
Actinobacteria bacterium IMCC25003
Nocardioides ungokensis
Nocardioides marinisabuli
Mycobacterium vicinigordonae
Candidatus Profftella armatura
Candidatus Carsonella ruddii
Staphylococcus sp. 17KM0847
Ehrlichia ruminantium
Arsenophonus endosymbiont of Aphis craccivora
Vibrio owensii
Martelella sp. NC20
Martelella sp. NC18
Wolbachia endosymbiont of Diaphorina citri
Citrobacter sp. 172116965
Enterobacteriaceae bacterium Kacie_13
Paraburkholderia sp. PGU19
Paraburkholderia sp. PGU16
Pseudoalteromonas sp. JSTW
Streptomyces sp. NEAU-sy36
Limosilactobacillus mucosae
Chitinibacter fontanus
Treponema socranskii
Chryseobacterium sp. JV274
Candidatus Campylobacter infans
Ruminococcaceae bacterium BL-6
Ruminococcaceae bacterium BL-4
Chryseoglobus indicus
Streptomyces sp. Rer75
Paracoccus pantotrophus
Desulfovibrio sp. 86
Pseudomonas yamanorum
Chitinibacter bivalviorum
Pseudomonas sp. DS1
Leuconostoc gelidum
Costertonia aggregata
Mycoplasma hyopneumoniae
Streptomyces sp. CB04723
Deinococcus sp. D7000
Furfurilactobacillus rossiae
Pseudomonas sp. ABC1
Peteryoungia desertarenae
Candidatus Saccharibacteria bacterium oral taxon 488
Capnocytophaga sp. oral taxon 902
Actinomyces sp. oral taxon 169
Streptococcus sp. oral taxon 061
Winogradskyella helgolandensis
Winogradskyella schleiferi
Winogradskyella forsetii
Kocuria sp. TGY1127_2
Kocuria sp. TGY1120_3
Enterococcus avium
Paenibacillus kribbensis
Pseudoalteromonas sp. Scap06
Shewanella sp. Scap07
Pseudoalteromonas sp. Scap25
Francisella sp. Scap27
Streptomyces rectiverticillatus
Nostoc sp. TCL26-01
Nostoc sp. C057
Nostoc sp. C052
Paenibacillus sp. URB8-2
Veillonella nakazawae
Galbibacter sp. BG1
Vibrio sp. SM1977
Acinetobacter sp. MYb10
Mannheimia varigena
Micromonospora carbonacea
Microbacterium oleivorans
Flavobacterium sp. I3-2
Flavobacterium inviolabile
Bartonella alsatica
Streptococcus sanguinis
Paraburkholderia caribensis
Parasphingopyxis algicola
Parasphingopyxis sp. CP4
Pseudomonas plecoglossicida
Mannheimia pernigra
Pasteurella skyensis
Mannheimia granulomatis
Bisgaardia hudsonensis
Desulfolutivibrio sulfoxidireducens
Desulfovibrio sulfodismutans
Candidatus Azoamicus ciliaticola
Enterobacter sp. DSM 30060
Streptomyces chartreusis
Spirosoma sp. KUDC1026
Pseudomonas eucalypticola
Acinetobacter sp. NEB 394
Helicobacter suis
Candidatus Adiutrix intracellularis
Sphingomonas sp. HMP9
Sphingomonas sp. HMP6
Lentibacillus sp. CBA3610
Desulfopila sp. IMCC35004
Marinomonas primoryensis
Aliarcobacter cibarius
Campylobacter ureolyticus
Campylobacter mucosalis
Campylobacter hyointestinalis
Campylobacter curvus
Campylobacter armoricus
Janthinobacterium lividum
Desulfopila sp. IMCC35005
Rapeseed phyllody phytoplasma
Mycoplasma hominis
Planococcus glaciei
Microbulbifer sp. YPW1
Bacillus sp. M4U3P1
Aquimarina sp. TRL1
Agrobacterium sp. CGMCC 11546
Wolbachia endosymbiont of Dipetalonema caudispina
Wolbachia endosymbiont of Cruorifilaria tuberocauda
Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis
Wolbachia endosymbiont of Litomosoides sigmodontis
Streptomyces sp. NA03103
Stenotrophomonas sp. NA06056
Streptomyces fulvissimus
Nocardiopsis flavescens
Actinomadura sp. NAK00032
Kitasatospora sp. NA04385
Verrucosispora sp. NA02020
Streptomyces sp. NA04227
Streptomyces sp. NA02536
Streptomyces sp. NA02950
Streptomyces harbinensis
Amycolatopsis sp. Hca4
Pseudomonas sp. 43A
Acidovorax antarcticus
Campylobacter sp. RM16192
Oricola thermophila
Rhodococcus sp. W8901
Mycoplasma sp. OR1901
Ectothiorhodospiraceae bacterium 2226
Pseudomonas bijieensis
Cupriavidus gilardii
Paenibacillus barcinonensis
Azospirillum oryzae
Paenibacillus cellulosilyticus
Sphingomonas sp. CL5.1
Pseudomonas sp. TUM18999
Nostoc sp. TCL240-02
Acinetobacter sp. 10FS3-1
Pseudomonas sp. FDAARGOS_761
Achromobacter denitrificans
Candidatus Reidiella endopervernicosa
Candidatus Ruthia endofausta
Lactobacillus acidophilus
Methyloligella sp. GL2
Hydrogenovibrio marinus
Ruminococcaceae bacterium JNU-WLY1368
Rhodoferax sp. BAB1
Scandinavium goeteborgense
Streptomyces coelicolor
Ruminococcaceae bacterium LBM 19010
Polynucleobacter sp. LimPoW16
Polynucleobacter sp. MWH-UH21B
Pseudomonas sp. 13159349
Pseudomonas sp. 14181154
Rhizobium indicum
Rhizobium hidalgonense
Halomonas sp. HG01
Erwiniaceae bacterium PD-1
Deefgea sp. D17
Flavobacterium sp. M31R6
Pseudomonas sp. MPDS
Mucilaginibacter mali
Aquiluna borgnonia
Poseidonibacter lekithochrous
Yersinia kristensenii
Yersinia massiliensis
Yersinia mollaretii
Thiomicrorhabdus xiamenensis
Kroppenstedtia eburnea
Neisseria mucosa
Bifidobacterium breve
Staphylococcus hominis
Finegoldia magna
Streptococcus intermedius
Niallia circulans
Abiotrophia defectiva
Achromobacter pestifer
Citrobacter sp. TSA-1
Kroppenstedtia pulmonis
Tenuifilum thalassicum
Streptococcus canis
Erythrobacter mangrovi
Pseudomonas sp. B14-6
Hymenobacter sp. BRD128
Hymenobacter sp. BRD67
Buttiauxella agrestis
Propionibacterium freudenreichii
Campylobacter sp. CCUG 57310
Arcobacter cloacae
Campylobacter blaseri
Halarcobacter ebronensis
Arcobacter defluvii
Aliarcobacter faecis
Campylobacter geochelonis
Arcobacter venerupis
Aliarcobacter lanthieri
Campylobacter ornithocola
Pseudomonas graminis
Lichenicola cladoniae
Arthrobacter sp. NEB 688
Arthrobacter citreus
Pseudoarcobacter acticola
Campylobacter canadensis
Arcobacter aquimarinus
Nocardioides sp. zg-579
Xylella taiwanensis
Xanthomonas axonopodis
Thermoleptolyngbya sp. PKUAC-SCTA183
Actinomyces marmotae
Mesorhizobium sp. NZP2298
Mesorhizobium sp. NZP2077
Mesorhizobium jarvisii
Mesorhizobium sp. NZP2234
Mesorhizobium erdmanii
Candidatus Nitrotoga sp. AM1P
Pseudonocardia broussonetiae
Diaphorobacter sp. JS3050
Staphylococcus agnetis
Hymenobacter sp. TS19
Alcanivorax sp. IO_7
Spirosoma taeanense
Ramlibacter sp. H242
Cellulosimicrobium sp. 72-3
Vitreoscilla sp. C1
Acinetobacter lactucae
Cellulosimicrobium sp. BI34T
Herbaspirillum rubrisubalbicans
Salmonella sp. SCFS4
Sphingobium sp. RSMS
Spiroplasma citri
Sphingomonas sp. AP4-R1
Herbiconiux sp. SALV-R1
Lactiplantibacillus paraplantarum
Blautia pseudococcoides
Desulfovibrio marinus
Aeromonas sp. 1805
Aeromonas sp. 2692-1
Streptomyces cacaoi
Turicibacter sanguinis
Streptomyces sp. jing01
Alteromonas pelagimontana
Streptomyces sp. Z423-1
Mycoplasma sp. Mirounga ES2806-NAS
Mycoplasma sp. Mirounga ES2806-GEN
Gemmatimonas sp. TET16
Limnobacter sp. SAORIC-580
Pelagibacterium halotolerans
Usitatibacter palustris
Usitatibacter rugosus
Halomonas sp. PGE1
Sphingomonas lacunae
Pseudomonas sp. SK
Undibacterium piscinae
Nonlabens sp. Ci31
Bordetella avium
Gordonia ajococcus
Mesorhizobium japonicum
Starkeya sp. ORNL1
Pseudomonas multiresinivorans
Bacillus fonticola
Pseudomonas sp. ADAK20
Pseudomonas sp. ADAK2
Pseudomonas sp. ADAK21
Pseudomonas sp. ADAK13
Pseudomonas sp. ADAK18
Pseudomonas sp. ADAK7
Pseudomonas sp. ADAK22
Mycoplasma sp. C264-NAS
Mycoplasma sp. Phocoena C-264-GEN
Flammeovirga sp. MY04
Roseobacter ponti
Cellulomonas taurus
Phytobacter diazotrophicus
Luteolibacter luteus
Rhodospirillaceae bacterium B3
Campylobacter sp. CFSAN093238
Campylobacter sp. CFSAN093227
Campylobacter sp. CFSAN093226
Campylobacter sp. CFSAN093224
Campylobacter sp. CFSAN093260
Campylobacter sp. CFSAN093259
Campylobacter sp. CFSAN093256
Campylobacter sp. CFSAN093241
Campylobacter sp. CFSAN093246
Bradyrhizobium elkanii
Staphylococcus caprae
Duganella sp. GN2-R2
Duganella sp. AF9R3
Mucilaginibacter sp. F39-2
Cohnella sp. MFER-1
Spirosoma sp. CJU-R4
Pyruvatibacter mobilis
Lactobacillus acetotolerans
Marinobacterium sp. LSUCC0821
Brevibacterium sp. 'Marine'
Pseudomonas sp. gcc21
Methylococcus sp. IM1
Paracoccus sanguinis
Paraburkholderia aromaticivorans
Paenibacillus sp. UniB2
Cereibacter sphaeroides
Pseudomonas umsongensis
Polaromonas vacuolata
Escherichia sp. SCLE84
Bacillus sp. HNA3
Enterobacteriaceae endosymbiont of Macroplea mutica
Arcanobacterium sp. 2701
Enterobacteriaceae endosymbiont of Plateumaris pusilla
Acinetobacter sp. NEB149
Microbacteriaceae bacterium WY83
Mycoplasma sp. 1654_15
Parasphingorhabdus halotolerans
Pseudodesulfovibrio sp. zrk46
Dolichospermum flos-aquae
Pectobacterium punjabense
Rahnella aquatilis
Thermosulfurimonas marina
Romboutsia sp. CE17
Clostridium innocuum
Leifsonia sp. PS1209
Bermanella marisrubri
Thalassobius gelatinovorus
Ferrimonas lipolytica
Oxynema aestuarii
Geobacillus subterraneus
Bacillus sp. RZ2MS9
Saccharopolyspora sp. ASAGF58
Streptomyces sp. S1D4-11
Wolbachia endosymbiont of Ctenocephalides felis wCfeJ
Wolbachia endosymbiont of Ctenocephalides felis wCfeT
Mobilicoccus sp. NJES-13
Candidatus Pelagibacter giovannonii
Chryseobacterium gallinarum
Chryseobacterium sp. NEB161
Streptomyces sp. RLB1-33
Streptomyces sp. RPA4-2
Hymenobacter sp. BT18
Rhodococcus sp. DMU1
Nocardioides sp. JQ2195
Bacillus tequilensis
Francisella adeliensis
Francisella sp. LA112445
Allofrancisella inopinata
Allofrancisella frigidaquae
Pasteurellaceae bacterium RH1A
Fervidobacterium pennivorans
Lactococcus raffinolactis
Mycoplasmopsis gallinacea
Bacteroides sp. CBA7301
Yokenella regensburgei
Trueperella pyogenes
Nitratireductor sp. SY7
Firmicutes bacterium R50
Aquisalimonas sp. 2447
Streptomyces antibioticus
Wolbachia endosymbiont of Brugia pahangi
Enterobacter sp. LU1
Streptomyces sp. DSM 40868
Paracoccus sp. AK26
Nocardia terpenica
Nocardia arthritidis
Nocardia brasiliensis
Nonlabens sp. SY33080
Leeuwenhoekiella sp. ZYFB001
Pseudomonas veronii
Kocuria sp. KD4
Tolypothrix sp. PCC 7910
Shewanella aestuarii
Lentilactobacillus hilgardii
Salinivibrio costicola
Pseudomonas coronafaciens
Halomonas meridiana
Sulfurimicrobium lacus
Phytohabitans suffuscus
Phytohabitans flavus
Legionella sp. TUM19329
Bosea sp. ANAM02
Acinetobacter sp. Marseille-Q1620
Orbus sp. IPMB12
Streptomyces liangshanensis
Streptomyces sp. VN1
Brevibacterium sp. o2
Brevibacterium sp. YB235
Brevibacterium sp. WO024
Hafnia alvei
Kingella kingae
Streptococcus cristatus
Elizabethkingia meningoseptica
Deinococcus radiodurans
Spirosoma aureum
Bradyrhizobium symbiodeficiens
Citrobacter sp. Y3
Bradyrhizobium sp. 1(2017)
Acinetobacter lanii
Acinetobacter shaoyimingii
Paenibacillus sp. RUD330
Caballeronia sp. SBC1
Rubrobacter sp. SCSIO 52915
Rubrobacter sp. SCSIO 52909
Staphylococcus chromogenes
Mycoplasma capricolum
Brevibacterium luteolum
Basfia succiniciproducens
Frederiksenia canicola
Pasteurellaceae bacterium Orientalotternb1
Adlercreutzia sp. 8CFCBH1
Nitrospira sp. KM1
Mameliella alba
Aeribacillus pallidus
Erysipelothrix sp. HDW6A
Halomonas hydrothermalis
Bacillus sp. KH172YL63
Thiosulfatimonas sediminis
Thiosulfativibrio zosterae
Enterococcus saigonensis
Brevilactibacter coleopterorum
Hydrogenophaga sp. BA0156
Pusillimonas sp. DMV24BSW_D
Streptococcus sp. CNU G2
Bordetella trematum
Phycicoccus sp. HDW14
Leucobacter coleopterorum
Leucobacter insecticola
Microbulbifer sp. SH-1
Vibrio sp. HDW18
Diaphorobacter sp. HDW4A
Hymenobacter sp. HDW8
Diaphorobacter sp. HDW4B
Weissella coleopterorum
Vagococcus hydrophili
Vagococcus coleopterorum
Acidovorax sp. HDW3
Pedobacter sp. HDW13
Thermomonas sp. HDW16
Sphingomonas sinipercae
Sphingomonas sp. HDW15A
Erysipelothrix sp. HDW6B
Sanguibacter sp. HDW7
Lysobacter sp. HDW10
Sphingomonas piscis
Nocardioides piscis
Erysipelothrix sp. HDW6C
Nocardioides sp. HDW12B
Leucobacter viscericola
Dysgonomonas sp. HDW5A
Dysgonomonas sp. HDW5B
Jeotgalibaca porci
Gordonia terrae
Monaibacterium sp. ALG8
Caldichromatium japonicum
Leclercia sp. 29361
Paenibacillus larvae
Mesoflavibacter sp. HG96
Mesoflavibacter sp. HG37
Vibrio coralliilyticus
Methylobacterium sp. CLZ
Methylobacterium sp. NI91
Thermosulfuriphilus ammonigenes
Jeotgalibaca arthritidis
Apibacter sp. B3706
Apibacter sp. B2966
Clostridiales genomosp. BVAB1
Bacillus sp. Cs-700
Rhodococcus fascians
Muricauda oceani
Deinococcus wulumuqiensis
Candidatus Kuenenia stuttgartiensis
Brevundimonas mediterranea
Enterobacteriaceae bacterium A-F18
Vibrio ziniensis
Flavobacterium sp. Sr18
Sphingobacterium sp. DR205
Lactobacillus iners
Pseudomonas sp. BIOMIG1BAC
Chryseobacterium sp. POL2
Bradyrhizobium sp. 6(2017)
Sphingosinithalassobacter sp. zrk23
Altererythrobacter sp. BO-6
Microbacterium endophyticum
Microbacterium amylolyticum
Rhizobium rhizoryzae
Nordella sp. HKS 07
Sphingobacterium lactis
Nocardioides anomalus
Microbacterium sp. 4R-513
Rhizobium pseudoryzae
Proteus sp. ZN5
Providencia sp. 1709051003
Providencia sp. 1701091
Providencia sp. 1701011
Brevundimonas sp. 'scallop'
Ralstonia mannitolilytica
Roseimicrobium sp. ORNL1
Pantoea stewartii
Pseudomonas nitroreducens
Sphingomonas sp. MK52
Flavobacteriaceae bacterium RR4-40
Pikeienuella piscinae
Pseudohalocynthiibacter aestuariivivens
Rhodobacteraceae bacterium SC52
Pseudomonas psychrophila
Caballeronia sp. SBC2
Spartinivicinus ruber
Bacillus sp. LUNF1
Streptomyces albus
Azoarcus sp. M9-3-2
Halomonas socia
Caulobacter rhizosphaerae
Janibacter melonis
Acinetobacter schindleri
Listeria sp. PSOL-1
Streptomyces sp. RLB1-9
Streptomyces sp. S1A1-8
Streptomyces sp. RLB3-17
Streptomyces sp. RLB1-8
Oenococcus sicerae
Oenococcus sp. UCMA 16435
Brevibacillus sp. 7WMA2
Mycolicibacterium helvum
Mycolicibacterium sarraceniae
Mycolicibacterium anyangense
Mycobacterium koreense
Mycolicibacterium celeriflavum
Mycobacterium mantenii
Mycolicibacter minnesotensis
Mycolicibacterium sediminis
Mycobacterium stomatepiae
Mycobacterium marseillense
Mycobacterium paraseoulense
Mycobacterium noviomagense
Mycolicibacterium insubricum
Mycobacterium seoulense
Mycolicibacterium monacense
Mycobacterium lacus
Mycolicibacterium phocaicum
Mycolicibacterium aubagnense
Mycobacterium heidelbergense
Mycobacterium parmense
Mycobacterium florentinum
Mycobacterium conspicuum
Mycobacterium shinjukuense
Mycolicibacterium confluentis
Mycolicibacterium madagascariense
Mycolicibacter hiberniae
Mycolicibacterium psychrotolerans
Mycobacterium saskatchewanense
Mycolicibacterium gadium
Mycobacterium branderi
Mycolicibacterium poriferae
Mycobacterium doricum
Mycobacterium cookii
Mycolicibacterium chitae
Mycobacterium simiae
Mycolicibacterium mageritense
Mycolicibacterium alvei
Mycolicibacter terrae
Mycolicibacterium fallax
Mycobacterium gallinarum
Mycolicibacterium duvalii
Mycobacterium novum
Mycolicibacterium aichiense
Mycolicibacterium moriokaense
Mycolicibacterium tokaiense
Mycolicibacterium pulveris
Mycolicibacterium parafortuitum
Aminipila butyrica
Kineobactrum salinum
Pseudomonas sp. OIL-1
Streptomyces aureoverticillatus
Rhizobium oryzihabitans
Ancylobacter pratisalsi
Caloranaerobacter azorensis
Vibrio astriarenae
Rodentibacter heylii
Ligilactobacillus murinus
Amedibacterium intestinale
Streptomyces sp. 604F
Mesorhizobium sp. AA22
Thermaerobacter sp. PB12/4term
Paenibacillus jilunlii
Rhizobium daejeonense
Sphingomonas insulae
Draconibacterium halophilum
Bacillus sp. NSP2.1
Bacillus sp. NSP9.1
Streptomyces sp. S4.7
Treponema sp. OMZ 804
Spiroplasma sp. BIUS-1
Spiroplasma sp. TIUS-1
Staphylococcus sp. MI 10-1553
Paenibacillus rhizovicinus
Cytophagales bacterium Alg240-R148
Lentilitoribacter sp. Alg239-R112
Tuwongella immobilis
Gemmata massiliana
Variovorax sp. WDL1
Variovorax sp. PBS-H4
Variovorax sp. PBL-E5
Variovorax sp. RA8
Variovorax sp. SRS16
Variovorax sp. PBL-H6
Candidatus Saccharibacteria bacterium oral taxon 955
Aminipila terrae
Rhodocytophaga rosea
Paenibacillus lycopersici
Cellulomonas sp. H30R-01
Bacillus sp. SB49
Hydrogenophaga sp. PBL-H3
Chitinophaga agri
Mucilaginibacter sp. 14171R-50
Edaphobacter sp. 12200R-103
Pontibacter pudoricolor
Virgibacillus sp. MSP4-1
Shewanella sp. Arc9-LZ
Sinimarinibacterium sp. NLF-5-8
Beggiatoa leptomitoformis
Corynebacterium pseudotuberculosis
Leptotrichia wadei
Burkholderia sp. THE68
Vibrio ponticus
Vibrio panuliri
Vibrio taketomensis
Elizabethkingia miricola
Sulfuriferula plumbiphila
Sulfuriferula nivalis
Undibacterium sp. YM2
Undibacterium sp. KW1
Methylosinus sp. C49
Mycoplasmopsis felis
Streptomyces antimycoticus
Rhodothermus marinus
Mycobacterium xenopi
Athalassotoga saccharophila
Candidatus Chazhemtobacterium aquaticus
Ligilactobacillus animalis
Anaerocolumna sedimenticola
Pontibacter russatus
Rhodobacteraceae bacterium 9Alg 56
Xanthomonas albilineans
Cobetia pacifica
Pectobacterium odoriferum
Bradyrhizobium sp. LCT2
Microbulbifer hydrolyticus
Actinomyces sp. 432
Bradyrhizobium sp. CCBAU 051011
Marisediminicola antarctica
Bergeyella cardium
Gordonia pseudoamarae
Gordonia amarae
Proteus columbae
Granulicella sp. WH15
Kosakonia sacchari
Acetobacter pasteurianus
Mixta theicola
Mixta intestinalis
Sphingomonas sp. C33
Nibribacter ruber
Pseudarthrobacter psychrotolerans
Pseudomonas knackmussii
Aequoribacter fuscus
Planomicrobium sp. Y50
Paraglaciecola mesophila
Hymenobacter busanensis
Bacillus sp. AM1(2019)
Xylophilus rhododendri
Bombella sp. KACC 21507
Klebsiella sp. MPUS7
Citrobacter sp. LUTT5
Serratia sp. NGAS9
Thermoanaerobacterium aotearoense
Kiritimatiellaeota bacterium S-5007
Microbulbifer sp. ALW1
Kordia antarctica
Acinetobacter haemolyticus
Acinetobacter dispersus
Bacillus pacificus
Acinetobacter gyllenbergii
Coxiella endosymbiont of Amblyomma sculptum
Sulfurimonas sp. CVO
Pseudomonas sp. S35
Mycoplasma iowae
Xanthomonas cucurbitae
Nostoc sp. ATCC 53789
Pseudomonas sp. DTU12.1
Streptomyces sp. NHF165
Streptococcus sp. DAT741
Pseudomonas sp. S49
Pseudomonas sp. S34
Pseudomonas sp. S19
Pseudomonas sp. R32
Pandoraea fibrosis
Pseudomonas asturiensis
Bacillus sp. A260
Rhodococcus sp. WAY2
Hydrogenophaga sp. BPS33
Rossellomorea vietnamensis
Pontibacillus sp. HMF3514
Rickettsia japonica
Chlamydia psittaci
Streptomyces sp. HM190
Gordonia sp. JH63
Aquitalea denitrificans
Trichormus variabilis
Neorickettsia findlayensis
Pseudomonas sp. R76
Pseudomonas sp. S04
Pseudomonas sp. R84
Empedobacter brevis
Lactobacillus sp. JM1
Komagataeibacter xylinus
Halomonas sp. BC-M4-5
Rathayibacter sp. VKM Ac-2805
Rathayibacter sp. VKM Ac-2801
Rathayibacter sp. VKM Ac-2759
Rathayibacter festucae
Rathayibacter sp. VKM Ac-2760
Rathayibacter tanaceti
Streptomyces sp. HF10
Streptomyces sp. GS7
Streptomyces sp. GF20
Anoxybacillus sp. PDR2
Epidermidibacterium keratini
Pelistega ratti
Streptomyces sp. Tu 2975
Stenotrophomonas sp. 364
Colwellia sp. 20A7
Yersinia canariae
Mannheimia ovis
Blochmannia endosymbiont of Camponotus nipponensis
Pseudomonas sp. J380
Pseudomonas mediterranea
Bacillus sp. N1-1
Serratia rhizosphaerae
Rossellomorea marisflavi
Myroides phaeus
Cellulophaga sp. L1A9
Formosa sp. L2A11
Cobetia sp. L2A1
Algibacter sp. L3A6
Algibacter sp. L1A34
Polaribacter sp. L3A8
Paraglaciecola sp. L3A3
Paraglaciecola sp. L1A13
Dehalobacter restrictus
Streptomyces broussonetiae
Terricaulis silvestris
Streptococcus sp. CNU 77-61
Mycoplasma sp. NEAQ87857
Myroides fluvii
Paraburkholderia acidisoli
Paraburkholderia acidiphila
Streptomyces sp. QHH-9511
Massilia flava
Stappia indica
Xanthomonas hyacinthi
Methylobacterium mesophilicum
Vibrio furnissii
Grimontia hollisae
Vibrio metschnikovii
Vibrio metoecus
Vibrio cincinnatiensis
